"RelativePath","Extension","SizeMB","LastWriteTime"
"CAD\E3V2_Rebuild.SLDASM",".SLDASM","28.018","7/15/2026 3:26:30 PM"
"CAD\Electronics\BTT E3 SKR MINI V3.0.SLDPRT",".SLDPRT","25.456","5/8/2026 3:33:43 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!!Sprite Extruder v3.iges.SLDASM",".SLDASM","0.028","5/8/2026 3:16:23 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!!Sprite Extruder v3.SLDASM",".SLDASM","0.026","5/8/2026 3:16:24 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!01 MAIN ASM Ender_3_ASM Roller X-Axis v1.iges-1.SLDASM",".SLDASM","0.025","5/8/2026 3:16:21 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!01 MAIN ASM Ender_3_ASM Roller X-Axis v1.iges-2.SLDASM",".SLDASM","0.026","5/8/2026 3:16:20 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!01 MAIN ASM Ender_3_ASM Roller X-Axis v1.iges.SLDASM",".SLDASM","0.026","5/8/2026 3:16:21 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!CR-Touch-Dummy v15-1.iges.SLDPRT",".SLDPRT","0.168","5/8/2026 3:16:23 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!CR-Touch-Dummy v15.iges.SLDASM",".SLDASM","0.024","5/8/2026 3:16:23 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\20mm_Square_Extrusion_340mm.SLDPRT",".SLDPRT","0.11","5/8/2026 3:16:19 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\20mm_Square_Extrusion_350mm.SLDPRT",".SLDPRT","0.112","5/8/2026 3:16:19 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\20mmX40mm_Rect_Extrusion_262mm.SLDPRT",".SLDPRT","0.082","5/8/2026 3:16:25 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\20mmX40mm_Rect_Extrusion_424mm.SLDPRT",".SLDPRT","0.082","5/8/2026 3:16:25 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\30X30X10 radial blower fan v1.iges.SLDPRT",".SLDPRT","0.183","5/8/2026 3:16:20 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\40mm_Square_Extrusion-L.SLDPRT",".SLDPRT","0.153","5/8/2026 3:16:26 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\40mm_Square_Extrusion-R.SLDPRT",".SLDPRT","0.15","5/8/2026 3:16:26 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\625pillow.iges.SLDPRT",".SLDPRT","0.361","5/8/2026 3:16:21 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Bed Screw Knob.SLDPRT",".SLDPRT","0.392","5/8/2026 3:16:16 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Bed Spring.SLDPRT",".SLDPRT","0.05","5/8/2026 3:16:16 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Bed_Mounting_Bracket.SLDPRT",".SLDPRT","0.125","5/8/2026 3:16:16 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Bed.SLDPRT",".SLDPRT","0.601","5/8/2026 3:16:16 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Creality 43-34 Motor.SLDPRT",".SLDPRT","0.063","5/8/2026 3:16:25 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Drawer.SLDPRT",".SLDPRT","0.069","5/8/2026 3:16:24 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Duct.iges.SLDPRT",".SLDPRT","0.112","5/8/2026 3:16:20 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Ender3S1_assembled.SLDASM.SLDASM",".SLDASM","10.426","5/8/2026 3:16:27 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Ender3S1_base.SLDASM",".SLDASM","0.027","5/8/2026 3:16:26 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Ender3S1_Bed_ASSY.SLDASM",".SLDASM","0.028","5/8/2026 3:16:17 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Ender3S1_X_Z_Gantry.SLDASM",".SLDASM","0.037","5/8/2026 3:16:24 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Extruder Motor.iges.SLDPRT",".SLDPRT","0.19","5/8/2026 3:16:22 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Front_Plastic_Face.SLDPRT",".SLDPRT","0.155","5/8/2026 3:16:24 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Gear Housing.iges.SLDPRT",".SLDPRT","0.216","5/8/2026 3:16:22 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Hotend.iges.SLDPRT",".SLDPRT","0.294","5/8/2026 3:16:22 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\M5 Self-locking nut.iges.SLDPRT",".SLDPRT","0.044","5/8/2026 3:16:21 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\M5X30 Pan Head Screw.iges.SLDPRT",".SLDPRT","0.055","5/8/2026 3:16:21 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Main Assembly.iges.SLDASM",".SLDASM","0.025","5/8/2026 3:16:23 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Mounting-0.iges.SLDPRT",".SLDPRT","0.121","5/8/2026 3:16:20 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Mounting.iges.SLDASM",".SLDASM","0.025","5/8/2026 3:16:22 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\PCB.iges.SLDPRT",".SLDPRT","0.337","5/8/2026 3:16:20 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Roller Wheel-Bed.SLDPRT",".SLDPRT","0.032","5/8/2026 3:16:16 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Roller Wheel.SLDPRT",".SLDPRT","0.034","5/8/2026 3:16:19 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Rollers.iges.SLDPRT",".SLDPRT","0.043","5/8/2026 3:16:21 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Rubber Foot.SLDPRT",".SLDPRT","0.027","5/8/2026 3:16:25 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Screws.iges.SLDASM",".SLDASM","0.023","5/8/2026 3:16:23 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Sheet_Metal_Base.SLDPRT",".SLDPRT","0.06","5/8/2026 3:16:25 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Shroud.iges.SLDPRT",".SLDPRT","0.321","5/8/2026 3:16:19 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Socket M3x25 v2.iges.SLDPRT",".SLDPRT","0.044","5/8/2026 3:16:23 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Spacers for rollers.iges.SLDPRT",".SLDPRT","0.029","5/8/2026 3:16:21 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Spur Gear (12 teeth) (1).iges.SLDPRT",".SLDPRT","0.145","5/8/2026 3:16:22 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Spur Gear (42 teeth) (1).iges.SLDPRT",".SLDPRT","0.303","5/8/2026 3:16:22 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Wire.iges.SLDPRT",".SLDPRT","0.051","5/8/2026 3:16:23 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\X_Motor_Cover.SLDPRT",".SLDPRT","0.064","5/8/2026 3:16:17 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\X-axis Belt.SLDPRT",".SLDPRT","0.042","5/8/2026 3:16:17 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\X-Axis Gantry Bracket.SLDPRT",".SLDPRT","0.073","5/8/2026 3:16:19 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Z-axis Belt Gear.SLDPRT",".SLDPRT","0.158","5/8/2026 3:16:25 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Z-axis Belt.SLDPRT",".SLDPRT","1.292","5/8/2026 3:16:17 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Z-Axis Brass Nut.SLDPRT",".SLDPRT","0.036","5/8/2026 3:16:18 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Z-axis Motor Bracket.SLDPRT",".SLDPRT","0.036","5/8/2026 3:16:18 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Z-Axis Rod Coupler.SLDPRT",".SLDPRT","0.046","5/8/2026 3:16:18 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Z-Axis Rod.SLDPRT",".SLDPRT","0.844","5/8/2026 3:16:18 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Z-Axis Top Bracket.SLDPRT",".SLDPRT","0.067","5/8/2026 3:16:18 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Z-Axis Worm Gear Bracket-L.SLDPRT",".SLDPRT","0.074","5/8/2026 3:16:19 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Z-Axis Worm Gear Bracket.SLDPRT",".SLDPRT","0.085","5/8/2026 3:16:18 PM"
"CAD\Electronics\Orange Pi 3 LTS\26Pin connector.SLDPRT",".SLDPRT","0.265","5/8/2026 11:40:54 AM"
"CAD\Electronics\Orange Pi 3 LTS\3Pin connector.SLDPRT",".SLDPRT","0.06","5/8/2026 11:40:53 AM"
"CAD\Electronics\Orange Pi 3 LTS\Audio.SLDPRT",".SLDPRT","0.225","5/8/2026 11:40:54 AM"
"CAD\Electronics\Orange Pi 3 LTS\HDMI.SLDPRT",".SLDPRT","0.609","5/8/2026 11:40:55 AM"
"CAD\Electronics\Orange Pi 3 LTS\IR.SLDPRT",".SLDPRT","0.05","5/8/2026 11:40:54 AM"
"CAD\Electronics\Orange Pi 3 LTS\MicroSD slot.SLDPRT",".SLDPRT","0.362","5/8/2026 11:40:54 AM"
"CAD\Electronics\Orange Pi 3 LTS\MicroSD.SLDPRT",".SLDPRT","0.33","5/8/2026 11:40:55 AM"
"CAD\Electronics\Orange Pi 3 LTS\Orange Pi 3 LTS-0.SLDPRT",".SLDPRT","0.032","5/8/2026 11:40:52 AM"
"CAD\Electronics\Orange Pi 3 LTS\Orange Pi 3 LTS-1.SLDPRT",".SLDPRT","0.026","5/8/2026 11:40:53 AM"
"CAD\Electronics\Orange Pi 3 LTS\Orange Pi 3 LTS-2.SLDPRT",".SLDPRT","0.028","5/8/2026 11:40:52 AM"
"CAD\Electronics\Orange Pi 3 LTS\Orange Pi 3 LTS.SLDASM",".SLDASM","2.088","5/8/2026 11:40:55 AM"
"CAD\Electronics\Orange Pi 3 LTS\Reset button.SLDPRT",".SLDPRT","0.092","5/8/2026 11:40:53 AM"
"CAD\Electronics\Orange Pi 3 LTS\RJ45.SLDPRT",".SLDPRT","0.593","5/8/2026 11:40:54 AM"
"CAD\Electronics\Orange Pi 3 LTS\USB 2.0.SLDPRT",".SLDPRT","0.166","5/8/2026 11:40:55 AM"
"CAD\Electronics\Orange Pi 3 LTS\USB 3.0 x2.SLDPRT",".SLDPRT","1.199","5/8/2026 11:40:53 AM"
"CAD\Electronics\Orange Pi 3 LTS\USB Type-C.SLDPRT",".SLDPRT","0.329","5/8/2026 11:40:54 AM"
"CAD\Electronics\pi_box_assy.SLDASM",".SLDASM","5.216","5/8/2026 3:06:18 PM"
"CAD\Electronics\pi_box_lid.SLDPRT",".SLDPRT","0.4","5/8/2026 3:06:17 PM"
"CAD\Electronics\pi_box.SLDPRT",".SLDPRT","0.645","5/8/2026 12:53:41 PM"
"CAD\Electronics\skr_box_assy.SLDASM",".SLDASM","7.06","5/8/2026 3:44:26 PM"
"CAD\Electronics\skr_box_lid.SLDPRT",".SLDPRT","0.41","5/8/2026 3:44:25 PM"
"CAD\Electronics\skr_box.SLDPRT",".SLDPRT","0.43","5/8/2026 11:08:32 AM"
"CAD\Frame\2020_3-Slot_330mm.SLDPRT",".SLDPRT","0.257","2/20/2026 11:21:28 PM"
"CAD\Frame\2040_4-Slot_LinearRailSlotted_500mm.SLDPRT",".SLDPRT","0.313","2/20/2026 10:39:12 PM"
"CAD\Frame\4040_8-Slot_250mm.SLDPRT",".SLDPRT","0.431","5/8/2026 3:06:34 PM"
"CAD\Frame\4040_8-Slot_290mm.SLDPRT",".SLDPRT","0.498","2/20/2026 10:07:27 PM"
"CAD\Frame\4040_FaceCover.SLDPRT",".SLDPRT","0.121","2/19/2026 10:21:10 PM"
"CAD\Frame\Linear_Rail_Z_Axis_Assy.SLDASM",".SLDASM","0.261","5/9/2026 12:41:44 PM"
"CAD\Frame\MGN12 LINEAR GUIDE RAIL_Z_Axis_450 mm.SLDPRT",".SLDPRT","0.113","5/8/2026 6:52:04 PM"
"CAD\Frame\MGN12 LINEAR GUIDE RAIL_Z_axis.SLDPRT",".SLDPRT","0.117","5/8/2026 6:48:17 PM"
"CAD\Frame\MGN12H, LINEAR GUIDE BLOCK.SLDPRT",".SLDPRT","0.422","1/30/2024 6:17:46 PM"
"CAD\X Gantry Assy\17HD34008-22B-stepper-motor.SLDPRT",".SLDPRT","0.434","2/3/2024 1:31:14 PM"
"CAD\X Gantry Assy\2020 Extrusion_X axis.SLDPRT",".SLDPRT","0.188","2/1/2024 12:20:13 PM"
"CAD\X Gantry Assy\2020 Extrusion.SLDPRT",".SLDPRT","0.056","1/30/2024 6:00:05 PM"
"CAD\X Gantry Assy\Assem14^EVA3 X Gantry Assy.SLDASM",".SLDASM","0.18","10/19/2025 8:03:18 PM"
"CAD\X Gantry Assy\Back plate 20.SLDPRT",".SLDPRT","0.056","1/31/2024 5:42:09 PM"
"CAD\X Gantry Assy\back_cartesian.SLDPRT",".SLDPRT","0.385","1/30/2024 12:22:26 PM"
"CAD\X Gantry Assy\Bearing gasket.SLDPRT",".SLDPRT","0.074","1/31/2024 5:42:17 PM"
"CAD\X Gantry Assy\Bearing.SLDPRT",".SLDPRT","0.089","1/31/2024 5:42:16 PM"
"CAD\X Gantry Assy\Bico 0.4mm.SLDPRT",".SLDPRT","0.069","1/31/2024 4:24:46 PM"
"CAD\X Gantry Assy\big gear.SLDPRT",".SLDPRT","0.35","1/30/2024 6:43:39 PM"
"CAD\X Gantry Assy\bl_touch_mount_volcano.SLDPRT",".SLDPRT","0.107","1/29/2024 4:14:25 PM"
